Gene_Symbol,Detection_Rate_%,Mean_CPM_percell_All,Mean_CPM_percell_Only_Detected,Aggregated_CPM,Cell_Type,Replicate,Dataset,Sample_ID,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Found
ATP1A2,0.15,0.004999999888241291,3.2537999153137207,0.05820000171661377,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ATP1A3,0.05,0.002300000051036477,4.536099910736084,0.01940000057220459,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ATP2B2,0.21,0.008200000040233135,3.976599931716919,0.07760000228881836,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ATXN2,53.77,2.1731998920440674,4.041800022125244,37.16669845581055,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
BACH2,3.35,0.11580000072717667,3.4518001079559326,1.3967000246047974,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
BCL11B,0.21,0.0071000000461936,3.4547998905181885,0.07760000228881836,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
BEST1,6.4,0.22849999368190765,3.5708000659942627,2.541100025177002,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
BICRA,14.4,0.5152999758720398,3.5794999599456787,6.479000091552734,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
BRAF,31.27,1.1859999895095825,3.7929000854492188,15.88700008392334,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
BRD4,70.28,3.096299886703491,4.405700206756592,76.81629943847656,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
BRSK2,1.5,0.05090000107884407,3.3984999656677246,0.6207000017166138,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
BSCL2,1.19,0.04170000180602074,3.5116000175476074,0.44620001316070557,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
C19ORF12,34.42,1.2898000478744507,3.747499942779541,18.331199645996094,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
C1QTNF5,0.0,0.0,0.0,0.0,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
C3,13.83,0.5770000219345093,4.172100067138672,14.121800422668457,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
C9ORF72,23.07,0.8489000201225281,3.6805999279022217,11.541799545288086,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CACNA1C,0.0,0.0,0.0,0.0,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CACNA1D,5.37,0.2013999968767166,3.753000020980835,2.3471999168395996,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
